x,y,x1,y1,word
1141,96,225,43,"PENANG"
1382,96,306,41,"ADVENTIST"
1704,94,265,43,"HOSPITAL"
1141,151,120,31,"Operated"
1269,151,157,31,"byAftentist"
1432,149,109,31,"Hospitat"
1547,149,18,25,"&"
1575,149,70,25,"Clinic"
1651,149,113,25,"Sendces"
1770,149,44,31,"(M)"
1824,149,145,33,"(255697•M)"
1139,199,72,34,"465,"
1219,199,92,30,"Jalan"
1456,199,99,28,"10350"
1567,199,133,36,"Penang,"
1716,197,143,38,"Malaysia"
1139,242,46,32,"Tel"
1197,242,108,39,"(+604)"
1314,242,64,32,"222"
1388,242,82,32,"7200"
1493,242,102,32,"Locall"
1611,242,240,32,"1-300-884325"
1873,242,60,30,"Fax"
1955,240,107,41,"(+604)"
2072,242,62,30,""8"
2146,242,83,30,"0443"
1141,285,114,32,"Patient"
1269,285,147,32,"Financial"
1424,285,145,32,"Services"
1591,285,62,32,"Fax"
1672,285,108,39,"(+604)"
1792,285,59,32,"227"
1861,285,82,32,"8512"
1141,332,104,30,"E-mail"
1267,332,334,37,"billing@pah.com.my"
1621,332,135,28,"Website"
1774,332,292,37,"www.pah.com.my"
853,508,82,35,"GST"
947,506,248,45,"Registration"
1207,510,56,33,"No"
1289,518,11,25,":"
1311,510,298,33,"000913940480"
58,1088,116,30,"CONT."
188,1088,158,30,"PERSON"
58,1147,108,31,"DEPT,"
56,1204,68,31,"CO."
138,1204,238,31,"GUARANTOR"
58,1262,160,33,"PATIENT"
230,1262,108,33,"NAME"
58,1311,48,31,"I/C"
118,1311,54,31,"NO"
58,1364,52,31,"RE"
200,1364,142,31,"RATION"
354,1366,52,29,"NO"
54,1415,56,29,"AD"
214,1415,54,29,"ON"
282,1415,54,29,"NO"
56,1467,92,30,"ADM!"
198,1465,64,34,"ING"
278,1467,82,32,"DOC"
58,1526,138,29,"POLICY"
208,1526,54,29,"NO"
58,1581,52,33,"GL"
120,1583,74,31,"REF"
206,1583,54,31,"NO"
58,1671,254,31,"DESCRIPTION"
1098,569,83,33,"TAX"
1193,569,169,34,"INVOICE"
1289,662,101,32,"PAGE"
1287,717,71,31,"TAX"
1372,717,153,33,"INVOICE"
1535,719,56,31,"NO"
1285,780,73,29,"REF"
1372,780,54,29,"NO"
1285,829,99,31,"DATE"
1392,829,113,31,"[TIME"
1285,881,167,33,"CASHIER"
1283,940,187,31,"ACCOUNT"
1223,1266,84,31,"ADM"
1316,1266,90,31,"TIME"
1414,1268,14,31,"/"
1440,1268,99,31,"DATE"
1225,1315,60,29,"DIS"
1295,1315,91,31,"TIME"
1396,1317,14,31,"1"
1420,1317,99,31,"DATE"
1227,1368,72,31,"BED"
1309,1368,101,31,"TYPE"
1223,1418,117,30,"WARD"
1374,1418,76,30,"BED"
1698,670,6,24,":"
1722,662,12,32,"1"
1750,662,64,32,"of2"
1698,725,6,25,":"
1720,719,191,31,"PA037407i"
1700,787,6,24,":"
1722,780,243,31,"PITOOC0218ö3"
1724,829,183,33,"19/11/2017"
1923,830,91,32,"11:22"
1700,889,6,25,":"
1722,883,217,31,"NURNADIAH"
1700,948,6,25,":"
1720,942,147,31,"0404303"
1639,1276,10,23,":"
1662,1268,94,31,"14:04"
1768,1268,185,31,"13/11/2017"
1639,1325,10,23,":"
1660,1317,96,29,"09:32"
1768,1317,185,33,"19/11/2017"
1639,1376,10,23,":"
1660,1370,265,31,"SEMI-PRIVATE"
1937,1387,10,6,"-"
1959,1370,51,39,"(N)"
1637,1426,10,20,":"
1788,1420,167,26,"SURGICAL"
436,1389,10,8,"."
458,1366,145,31,"0404303"
436,1422,10,22,":"
460,1417,188,29,"PA0374071"
436,1475,10,24,":"
460,1467,49,32,"DR"
519,1467,76,32,"TEH"
607,1469,61,30,"AIK"
680,1469,104,30,"SENG"
797,1469,146,39,"(RFAST)"
801,1674,106,32,"CODE"
58,1778,190,31,"HOSPITAL"
260,1778,186,33,"CHARGES"
56,1829,102,33,"XRAY"
56,1878,78,33,"USE"
146,1880,52,31,"OF"
208,1880,166,31,"MEDICAL"
388,1880,219,33,"EQUPMENT"
54,1927,268,31,"THERAPUETIC"
332,1927,237,33,"PROCEDURE"
605,1928,159,32,"SPECIAL"
770,1928,250,36,"TECHNIQUES"
56,1975,116,32,"ROOM"
